Amplificador De Rifle (/Lotus/Upgrades/Mods/Aura/PlayerRifleDamageAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemic Agility (/Lotus/Upgrades/Mods/Pistol/DualStat/CorruptedFireRateDamagePistol),Balista (AIWeek/FemaleGrineer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antitoxina (/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistancePoison),Moa Híbrido (BipedRobot/AIWeek/SuperMoaBiped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argon Plating (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitArmourMod),Carrier (SpaceBattles/Ships/SwarmShip),Dreg (SpaceBattles/Drones/GrineerSpaceDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Trigger (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingRifleFireRateMod),Carrier (SpaceBattles/Ships/SwarmShip),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxillary Power (/Lotus/Upgrades/Mods/Archwing/Suit/ArchwingSuitPowerMaxMod),Shield Dargyn (SpaceBattles/Skiffs/ShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserker (/Lotus/Upgrades/Mods/Melee/WeaponCritFireRateBonusMod),Corrupted Ancient (OrokinHealingAncient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bite (/Lotus/Upgrades/Mods/Sentinel/Kubrow/KubrowCritMod),Drahk (AIWeek/CombatKubrow),Kubrow (/Lotus/Types/NeutralCreatures/Kubrow/Kubrow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Steel (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingWeaponFireDamageMod),Shield-Hellion Dargyn (SpaceBattles/Skiffs/MissileShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleeding Edge (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeCritDamageMod),Dargyn (SpaceBattles/Skiffs/GrineerSpaceMarine),Shield-Hellion Dargyn (SpaceBattles/Skiffs/MissileShieldSkiff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleeding Willow (/Lotus/Weapons/Tenno/Melee/MeleeTrees/PolearmCmbTwoMeleeTree),Corrupted Moa (OrokinMoaBiped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Justice (/Lotus/Weapons/Tenno/Melee/MeleeTrees/KatanaCmbThreeMeleeTree),Stalker (Stalker/Stalker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Rage (/Lotus/Upgrades/Mods/Warframe/DualStat/CorruptedPowerEfficiencyWarframe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brutal Tide (/Lotus/Weapons/Tenno/Melee/MeleeTrees/PunchKickCmbTwoMeleeTree),Tóxico Antiguo (AiWeek/Ancients/ToxicAncient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdened Magazine (/Lotus/Upgrades/Mods/Shotgun/DualStat/CorruptedMaxClipReloadSpeedShotgun),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burning Wasp (/Lotus/Weapons/Tenno/Melee/MeleeTrees/WhipCmbOneMeleeTree),Corrupted Lancer (RifleLancer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buscador (/Lotus/Upgrades/Mods/Pistol/WeaponPunctureDepthMod),Sanador Antiguo (AiWeek/Ancients/HealingAncient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal Cuerpo A Cuerpo (/Lotus/Upgrades/Mods/Melee/WeaponPowerDamageMod),Moa (BipedRobot/AIWeek/LaserCannonBiped),Tte Lech Kril (Vip/BossLechKril),Kela De Thaym (Vip/HeavyRocketFemale),Vay Hek Terra Frame (Vip/Hek/HekBiped),Councilor Vay Hek (Vip/Hek/HekDrone),Phorid (Vip/QuadrupedVIP),Stalker (Stalker/Stalker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capa Incendiaria (/Lotus/Upgrades/Mods/Shotgun/WeaponFireDamageMod),Tripulante Francotirador (Spaceman/AIWeek/SniperSpaceman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carga De Acero (/Lotus/Upgrades/Mods/Aura/PlayerMeleeAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carga Incendiaria (/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Ambulas (BipedRobot/Vip/BossBiped),Alad V (Vip/AladV/AladBoss),Hellion (AIWeek/JetpackMarine),Lancero Grineer (AIWeek/RifleLancer),Arid Hellion (Desert/JetpackMarine),Arid Lancer (Desert/RifleLancer),Frontier Hellion (Forest/JetpackMarine),Frontier Lancer (Forest/RifleLancer),Frontier Heavy Gunner (Forest/HeavyFemaleGrineerDesert),Capitan Vor (Vip/CaptainVorBoss),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargador Deformado (/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Ambulas (BipedRobot/Vip/BossBiped),Halieto Sanguijuela (Drones/AIWeek/LeechDrone),Sergeant Nef Anyo (Spaceman/Vip/SniperBoss),Artillero Pesado Grineer (AIWeek/HeavyFemaleGrineer),Arid Heavy Gunner (Desert/HeavyFemaleGrineerDesert),Grineer Warden (Gamemodes/WardenGrineerHeavy),Grineer Warden (Gamemodes/WardenGrineerHeavyLeader),Comandante Grineer (GrineerMarineLeader),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargador Falso (/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Moa Cañon Electrico (BipedRobot/AIWeek/RailgunBiped),Moa Onda De Choque (BipedRobot/AIWeek/ShockwaveBiped),Halieto De Escudo (Drones/AIWeek/ShieldDrone),Lynx Osprey (QuadRobot/MiniBoss/ShieldDroneMiniBoss),Lynx Turret (QuadRobot/MiniBoss/TurretQuadMiniBoss),Hyena Th (Vip/Hyena/HyenaElec),Hyena Ng (Vip/Hyena/HyenaFire),Hyena Pb (Vip/Hyena/HyenaGun),Hyena Ln2 (Vip/Hyena/HyenaIce),Grineer Espada En Llamas (AIWeek/BlowtorchSawman),Shock (AIWeek/DeltaProsecutorLeader),Shock (AIWeek/GrineerMeleeStaffLeader),Rodillo Grineer (AIWeek/RollingDrone),Lobber Crawler (AiWeek/Crawlers/Grenade),Arrastrador Tóxico (AiWeek/Crawlers/NoxiousCrawler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera (/Lotus/Upgrades/Mods/Warframe/AvatarSprintSpeedMod),Moa Híbrido (BipedRobot/AIWeek/SuperMoaBiped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroñero De Escopeta (/Lotus/Upgrades/Mods/Aura/PlayerShellAmmoAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroñero De Francotirador (/Lotus/Upgrades/Mods/Aura/PlayerSniperAmmoAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroñero De Pistola (/Lotus/Upgrades/Mods/Aura/PlayerPistolAmmoAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroñero De Rifle (/Lotus/Upgrades/Mods/Aura/PlayerRifleAmmoAuraMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartucho Cargado (/Lotus/Upgrades/Mods/Shotgun/WeaponElectricityDamageMod),Corpus Warden (Gamemodes/DeployableSpacemanWarden),Corpus Warden (Gamemodes/DeployableSpacemanWardenLeader),Tech Corpus (Spaceman/AIWeek/DeployableSpaceman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartucho Comprimido (/Lotus/Upgrades/Mods/Shotgun/WeaponAmmoMaxMod),Chacal (QuadRobot/QuadRobot),Artillero Pesado Grineer (AIWeek/HeavyFemaleGrineer),Arid Heavy Gunner (Desert/HeavyFemaleGrineerDesert),Grineer Warden (Gamemodes/WardenGrineerHeavy),Grineer Warden (Gamemodes/WardenGrineerHeavyLeader),Comandante Grineer (GrineerMarineLeader),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castiga Corpus (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageCorpus),Moa Híbrido (BipedRobot/AIWeek/SuperMoaBiped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castiga Grineer (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageGrineer),Moa (BipedRobot/AIWeek/LaserCannonBiped),Drahk Master (AIWeek/BeastMaster),Grineer Sierra (AIWeek/BladeSawman),Guardsman (AIWeek/GrineerMeleeStaff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castiga Infestados (/Lotus/Upgrades/Mods/Melee/WeaponMeleeFactionDamageInfested),Lancero De Escudo (AIWeek/ShieldLancer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clashing Forest (/Lotus/Weapons/Tenno/Melee/MeleeTrees/StaffCmbOneMeleeTree),Corrupted Ancient (OrokinHealingAncient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaving Whirlwind (/Lotus/Weapons/Tenno/Melee/MeleeTrees/AxeCmbTwoMeleeTree),Disruptor Antiguo (AiWeek/Ancients/Ancient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coiling Viper (/Lotus/Weapons/Tenno/Melee/MeleeTrees/WhipCmbTwoMeleeTree),Corrupted Crewman (RifleSpaceman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combustion Rounds (/Lotus/Upgrades/Mods/Archwing/Rifle/ArchwingWeaponFireDamageMod),Dreg (SpaceBattles/Drones/GrineerSpaceDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Nucleo De Fusión (/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Moa (BipedRobot/AIWeek/LaserCannonBiped),Moa Cañon Electrico (BipedRobot/AIWeek/RailgunBiped),Moa Onda De Choque (BipedRobot/AIWeek/ShockwaveBiped),Moa Híbrido (BipedRobot/AIWeek/SuperMoaBiped),Halieto Sanguijuela (Drones/AIWeek/LeechDrone),Halieto De Minas (Drones/AIWeek/MineDrone),Halieto De Escudo (Drones/AIWeek/ShieldDrone),Oxium Osprey (Drones/AIWeek/SuicideDrone),Dron (Drones/DroneDroneAttack),Corpus Warden (Gamemodes/DeployableSpacemanWarden),Corpus Warden (Gamemodes/DeployableSpacemanWardenLeader),Lynx (QuadRobot/MiniBoss/QuadRobotMiniBoss),Lynx Osprey (QuadRobot/MiniBoss/ShieldDroneMiniBoss),Lynx Turret (QuadRobot/MiniBoss/TurretQuadMiniBoss),Corpus Power Carrier (Spaceman/AIWeek/CarrierSpaceman),Tech Corpus (Spaceman/AIWeek/DeployableSpaceman),Tripulante Aguijón (Spaceman/AIWeek/MeleeSpaceman),Tripulante (Spaceman/AIWeek/RifleSpaceman),Tripulante (Spaceman/AIWeek/ShotgunSpaceman),Elite Crewman (Spaceman/EliteSpaceman),Drahk Master (AIWeek/BeastMaster),Grineer Sierra (AIWeek/BladeSawman),Grineer Espada En Llamas (AIWeek/BlowtorchSawman),Grineer Power Carrier (AIWeek/CarrierRifleLancer),Shock (AIWeek/DeltaProsecutorLeader),Balista (AIWeek/FemaleGrineer),Grineer Abrasador (AIWeek/FlameLancer),Guardsman (AIWeek/GrineerMeleeStaff),Shock (AIWeek/GrineerMeleeStaffLeader),Artillero Pesado Grineer (AIWeek/HeavyFemaleGrineer),Grineer Escorpión (AIWeek/MacheteWoman),Bombardero Grineer (AIWeek/RocketBombard),Rodillo Grineer (AIWeek/RollingDrone),Lancero De Escudo (AIWeek/ShieldLancer),Arid Heavy Gunner (Desert/HeavyFemaleGrineerDesert),Grineer Warden (Gamemodes/WardenGrineerHeavy),Grineer Warden (Gamemodes/WardenGrineerHeavyLeader),Frontier Regulator (SpecialEvents/ForestDrone),Regulator (SpecialEvents/SurveillanceDrone),Vay Hek Terra Frame (Vip/Hek/HekBiped),Councilor Vay Hek (Vip/Hek/HekDrone),Sanador Antiguo (AiWeek/Ancients/HealingAncient),Tóxico Antiguo (AiWeek/Ancients/ToxicAncient),Arrastrador (AiWeek/Crawlers/Crawler),Arrastrador Nauseabundo (AiWeek/Crawlers/GraspingCrawler),Lobber Crawler (AiWeek/Crawlers/Grenade),Arrastrador Tóxico (AiWeek/Crawlers/NoxiousCrawler),Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDrone),Charger (AiWeek/Quadrupeds/Quadruped),Saltador (AiWeek/Runners/LeapingRunner),Corredor (AiWeek/Runners/SuicideRunner),Corrupted Ancient (OrokinHealingAncient),Corrupted Moa (OrokinMoaBiped),Orokin Drone (OrokinShieldDrone),Corrupted Crewman (RifleSpaceman),Ranger (SpaceBattles/CrewMan/JetpackMarine),Quanta Ranger (SpaceBattles/CrewMan/JetpackMarineThree),Penta Ranger (SpaceBattles/CrewMan/JetpackMarineTwo),Locust Drone (SpaceBattles/Drones/SwarmDrone),Gox (SpaceBattles/Ships/CrpPod),Corvette (SpaceBattles/Ships/FlakShip),Frigate (SpaceBattles/Ships/LaserShip),Carrier (SpaceBattles/Ships/SwarmShip),Dron (SpaceBattles/CrpSpaceDroneAttack),Dreg (SpaceBattles/Drones/GrineerSpaceDrone),Lancer Dreg (SpaceBattles/Drones/LaserDrone),Temporal Dreg (SpaceBattles/Drones/StasisDrone),Ogma (SpaceBattles/Pods/CombatPod),Dargyn (SpaceBattles/Skiffs/GrineerSpaceMarine),Shield-Hellion Dargyn (SpaceBattles/Skiffs/MissileShieldSkiff),Hellion Dargyn (SpaceBattles/Skiffs/MissileSkiff),Shield Dargyn (SpaceBattles/Skiffs/ShieldSkiff)
Concussion Rounds (/Lotus/Upgrades/Mods/Pistol/WeaponImpactDamageMod),Tripulante (Spaceman/AIWeek/ShotgunSpaceman),Corredor (AiWeek/Runners/SuicideRunner),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congelador (/Lotus/Upgrades/Mods/Pistol/WeaponFreezeDamageMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constitución (/Lotus/Upgrades/Mods/Warframe/DualStat/ConstitutionMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contagious Spread (/Lotus/Upgrades/Mods/Shotgun/WeaponToxinDamageMod),Scavenger Drone (Drones/AIWeek/VacDrone),Electric Crawler (AiWeek/Crawlers/Lightning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuidad (/Lotus/Upgrades/Mods/Warframe/AvatarAbilityDurationMod),General Sargas Ruk (Vip/SargasRuk/SargasRukNew),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuous Misery (/Lotus/Upgrades/Mods/Rifle/WeaponProcTimeMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control De Masas (/Lotus/Upgrades/Mods/Shotgun/WeaponStunChanceMod),Anti Moa (BipedRobot/AIWeek/LaserDiscBiped),Tripulante Aguijón (Spaceman/AIWeek/MeleeSpaceman),General Sargas Ruk (Vip/SargasRuk/SargasRukNew),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convulsión (/Lotus/Upgrades/Mods/Pistol/WeaponElectricityDamageMod),Oxium Osprey (Drones/AIWeek/SuicideDrone),Dron (Drones/DroneDroneAttack),Frontier Regulator (SpecialEvents/ForestDrone),Regulator (SpecialEvents/SurveillanceDrone),Charger (AiWeek/Quadrupeds/Quadruped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coolant Leak (/Lotus/Types/Sentinels/SentinelPrecepts/CoolantLeak),Orokin Drone (OrokinShieldDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupt Charge (/Lotus/Upgrades/Mods/Melee/DualStat/CorruptedHeavyDamageChargeSpeedMod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creeping Bullseye (/Lotus/Upgrades/Mods/Pistol/DualStat/CorruptedCritChanceFireRatePistol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Dervish (/Lotus/Weapons/Tenno/Melee/MeleeTrees/CrimsonDervishMeleeTree),Bombardero Grineer (AIWeek/RocketBombard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Deceleration (/Lotus/Upgrades/Mods/Shotgun/DualStat/CorruptedCritChanceFireRateShotgun),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Delay (/Lotus/Upgrades/Mods/Rifle/DualStat/CorruptedCritRateFireRateRifle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Snakes (/Lotus/Weapons/Tenno/Melee/MeleeTrees/DualSwordCmbTwoMeleeTree),Lancero Grineer De Elite (AIWeek/EliteRifleLancer),Elite Arid Lancer (Desert/EliteRifleLancer),Elite Frontier Lancer (Forest/EliteRifleLancer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushing Ruin (/Lotus/Weapons/Tenno/Melee/MeleeTrees/HammerCmbTwoMeleeTree),Arid Seeker (Desert/GrineerMarinePistol),Frontier Seeker (Forest/GrineerMarinePistol),Buscador Grineer (GrineerMarinePistol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutting Edge (/Lotus/Upgrades/Mods/Archwing/Melee/ArchwingMeleeDamageMod),Ranger (SpaceBattles/CrewMan/JetpackMarine),Quanta Ranger (SpaceBattles/CrewMan/JetpackMarineThree),Penta Ranger (SpaceBattles/CrewMan/JetpackMarineTwo),Frigate (SpaceBattles/Ships/LaserShip),Dreg (SpaceBattles/Drones/GrineerSpaceDrone),Ogma (SpaceBattles/Pods/CombatPod),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cámara Cargada (/Lotus/Upgrades/Mods/Rifle/SniperReloadDamageMod),Moa Cañon Electrico (BipedRobot/AIWeek/RailgunBiped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cámara Dividida (/Lotus/Upgrades/Mods/Rifle/WeaponFireIterationsMod),Halieto Sanguijuela (Drones/AIWeek/LeechDrone),Raptor (Drones/Vip/DroneAttack),Vem Tabook (DeathSquad/DeathSquadA),Leekter (DeathSquad/DeathSquadB),Shik Tal (DeathSquad/DeathSquadC),General Sargas Ruk (Vip/SargasRuk/SargasRukNew),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cámara Infernal (/Lotus/Upgrades/Mods/Shotgun/WeaponFireIterationsMod),Oxium Osprey (Drones/AIWeek/SuicideDrone),Dron (Drones/DroneDroneAttack),Vem Tabook (DeathSquad/DeathSquadA),Leekter (DeathSquad/DeathSquadB),Shik Tal (DeathSquad/DeathSquadC),Frontier Regulator (SpecialEvents/ForestDrone),Regulator (SpecialEvents/SurveillanceDrone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dardos (/Lotus/Upgrades/Mods/Shotgun/WeaponArmorPiercingDamageMod),Lancero De Escudo (AIWeek/ShieldLancer),Disruptor Antiguo (AiWeek/Ancients/Ancient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
