Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards
Juliet,Uranus,Deception,Grineer,CorpusGrineerMix,""
Portia,Uranus,Sabotage,Grineer,GrineerSquadOne,""
Rosalind,Uranus,Spy,Grineer,GrineerSquadFour,""
Cupid,Uranus,Survival,Grineer,GrineerSurvivalA,""
Setebos,Uranus,Sabotage,Grineer,GrineerSquadOne,""
Perdita,Uranus,Deception,Grineer,CorpusGrineerMix,""
Puck,Uranus,Extermination,Grineer,GrineerSquadOne,""
Mab,Uranus,Rescue,Grineer,CorpusGrineerMix,""
Prospero,Uranus,Sabotage,Grineer,GrineerSquadOne,""
Caliban,Uranus,Rescue,Grineer,CorpusGrineerMix,""
Stephano,Uranus,Defense,Grineer,GrineerDefenseA,""
Trinculo,Uranus,Capture,Grineer,GrineerSquadThree,""
Sycorax,Uranus,Extermination,Grineer,GrineerSquadTwo,""
Naiad,Neptune,Deception,Corpus,CorpusGrineerMix,""
Thalassa,Neptune,Defense,Corpus,CorpusSquadDefenseA,""
Despina,Neptune,Defense,Corpus,CorpusSquadDefenseA,""
Galatea,Neptune,Capture,Corpus,CorpusInfestedMix,""
Larissa,Neptune,Mobile Defense,Corpus,CorpusSquadB,""
Proteus,Neptune,Defense,Corpus,CorpusSquadDefenseA,""
Triton,Neptune,Survival,Corpus,CorpusSurvivalA,""
Nereid,Neptune,Sabotage,Corpus,CorpusSquadA,""
Halimede,Neptune,Sabotage,Corpus,CorpusSquadB,""
Sao,Neptune,Deception,Corpus,CorpusGrineerMix,""
Laomedeia,Neptune,Spy,Corpus,CorpusSquadA,""
Neso,Neptune,Extermination,Corpus,CorpusSquadB,""
Psamathe,Neptune,Assassination,Corpus,CorpusSquadC,""
Minthe,Pluto,Mobile Defense,Corpus,CorpusSquadB,""
Hades,Pluto,Assassination,Corpus,CorpusSquadA,""
Charon,Pluto,Sabotage,Corpus,CorpusSquadB,""
Outer Terminus,Pluto,Defense,Corpus,CorpusSquadDefenseA,""
Hydra,Pluto,Capture,Corpus,CorpusSquadB,""
Acheron,Pluto,Extermination,Corpus,CorpusSquadB,""
Regna,Pluto,Rescue,Corpus,CorpusGrineerMix,""
Narcissus,Pluto,Defense,Corpus,CorpusSquadDefenseA,""
Cypress,Pluto,Sabotage,Corpus,CorpusSquadB,""
Cerberus,Pluto,Sabotage,Corpus,CorpusSquadA,""
Oceanum,Pluto,Spy,Corpus,CorpusSquadA,""
Palus,Pluto,Survival,Corpus,CorpusSquadA,""
Nix,Pluto,Deception,Corpus,CorpusGrineerMix,""
Pallas,Ceres,Sabotage,Grineer,GrineerSquadOne,""
Bode,Ceres,Rescue,Grineer,GrineerSquadTwo,""
Vedic,Ceres,Extermination,Grineer,GrineerSquadOne,""
Varro,Ceres,Defense,Grineer,GrineerDefenseA,""
Thon,Ceres,Sabotage,Grineer,GrineerInfestedMix,""
Olla,Ceres,Rescue,Grineer,CorpusGrineerMix,""
Nuovo,Ceres,Survival,Grineer,GrineerSurvivalA,""
Ludi,Ceres,Extermination,Grineer,GrineerSquadTwo,""
Lex,Ceres,Spy,Grineer,GrineerSquadFour,""
Kiste,Ceres,Mobile Defense,Grineer,GrineerSquadFive,""
Ker,Ceres,Deception,Grineer,CorpusGrineerMix,""
Hapke,Ceres,Sabotage,Grineer,GrineerInfestedMix,""
Gefion,Ceres,Rescue,Grineer,CorpusGrineerMix,""
Exta,Ceres,Assassination,Grineer,GrineerSquadFour,""
Egeria,Ceres,Capture,Grineer,GrineerSquadThree,""
Draco,Ceres,Spy,Grineer,GrineerSquadFour,""
Cinxia,Ceres,Capture,Grineer,GrineerSquadThree,""
Cerium,Ceres,Sabotage,Grineer,GrineerSquadOne,""
Casta,Ceres,Defense,Grineer,GrineerDefenseA,""
Albedo,Ceres,Deception,Grineer,CorpusGrineerMix,""
Acanth,Eris,Extermination,Corpus,CorpusSquadB,""
Ascar,Eris,Spy,Corpus,CorpusSquadC,""
Brugia,Eris,Rescue,Corpus,CorpusSquadC,""
Candiru,Eris,Sabotage,Corpus,CorpusSquadB,""
Cosis,Eris,Capture,Corpus,CorpusSquadC,""
Cyath,Eris,Mobile Defense,Corpus,CorpusSquadA,""
Giardia,Eris,Spy,Corpus,CorpusSquadC,""
Gnathos,Eris,Defense,Corpus,CorpusSquadDefenseA,""
Lepis,Eris,Sabotage,Corpus,CorpusSquadA,""
Histo,Eris,Extermination,Corpus,CorpusSquadB,""
Hymeno,Eris,Survival,Corpus,CorpusSquadA,""
Isos,Eris,Capture,Corpus,CorpusInfestedMix,""
Ixodes,Eris,Defense,Corpus,CorpusSquadDefenseA,""
Kala-azar,Eris,Defense,Corpus,CorpusSquadDefenseA,""
Naeglar,Eris,Extermination,Corpus,CorpusSquadC,""
Nimus,Eris,Survival,Grineer,GrineerSurvivalA,""
Oestrus,Eris,Deception,Corpus,CorpusSquadA,""
Phalan,Eris,Survival,Corpus,CorpusSquadA,""
Psoro,Eris,Sabotage,Corpus,CorpusSquadB,""
Ranova,Eris,Rescue,Corpus,CorpusSquadC,""
Saxis,Eris,Extermination,Corpus,CorpusSquadB,""
Xini,Eris,Defense,Corpus,CorpusSquadDefenseA,""
Solium,Eris,Deception,Corpus,CorpusSquadA,""
Sparga,Eris,Rescue,Corpus,CorpusSquadC,""
Sporid,Eris,Sabotage,Corpus,CorpusSquadA,""
Viver,Eris,Defense,Corpus,CorpusSquadDefenseA,""
Kappa,Sedna,Mobile Defense,Grineer,GrineerSquadFive,""
Hyosube,Sedna,Sabotage,Grineer,GrineerSquadTwo,""
Jengu,Sedna,Rescue,Grineer,GrineerSquadTwo,""
Undine,Sedna,Sabotage,Grineer,GrineerInfestedMix,""
Adaro,Sedna,Extermination,Grineer,GrineerSquadOne,""
Camenae,Sedna,Defense,Grineer,GrineerDefenseA,""
Vodyanoi,Sedna,Mobile Defense,Grineer,GrineerSquadFive,""
Rusalka,Sedna,Deception,Grineer,CorpusGrineerMix,""
Berehynia,Sedna,Survival,Grineer,GrineerSurvivalA,""
Phithale,Sedna,Sabotage,Grineer,GrineerSquadOne,""
Selkie,Sedna,Survival,Grineer,GrineerSurvivalA,""
Kelpie,Sedna,Sabotage,Grineer,GrineerSquadOne,""
Naga,Sedna,Rescue,Grineer,CorpusGrineerMix,""
Nakki,Sedna,Sabotage,Grineer,GrineerSquadOne,""
Marid,Sedna,Extermination,Grineer,GrineerSquadTwo,""
Tikoloshe,Sedna,Spy,Grineer,GrineerSquadFour,""
Merrow,Sedna,Assassination,Grineer,GrineerSquadOne,""
Ponaturi,Sedna,Deception,Grineer,CorpusGrineerMix,""
Hydron,Sedna,Defense,Grineer,GrineerDefenseA,""
Charybdis,Sedna,Deception,Grineer,CorpusGrineerMix,""
Graeae,Sedna,Mobile Defense,Grineer,GrineerSquadFive,""
Scylla,Sedna,Spy,Grineer,GrineerSquadFour,""
Yam,Sedna,Sabotage,Grineer,GrineerSquadTwo,""
Veles,Sedna,Rescue,Grineer,GrineerSquadTwo,""
Tiamat,Sedna,Capture,Grineer,GrineerSquadTwo,""
Yemaja,Sedna,Survival,Grineer,GrineerSurvivalA,""
Abaddon,Europa,Capture,Corpus,CorpusInfestedMix,""
Armaros,Europa,Sabotage,Corpus,CorpusSquadA,""
Baal,Europa,Mobile Defense,Corpus,CorpusSquadB,""
Eligor,Europa,Defense,Corpus,CorpusSquadDefenseA,""
Gamygyn,Europa,Spy,Corpus,CorpusSquadB,""
Lillith,Europa,Survival,Corpus,CorpusSquadA,""
Morax,Europa,Spy,Corpus,CorpusSquadA,""
Naamah,Europa,Assassination,Corpus,CorpusSquadA,""
Ose,Europa,Survival,Corpus,CorpusSurvivalA,""
Paimon,Europa,Defense,Corpus,CorpusSquadDefenseA,""
Shax,Europa,Rescue,Corpus,CorpusGrineerMix,""
Sorath,Europa,Sabotage,Corpus,CorpusSquadB,""
Valac,Europa,Deception,Corpus,CorpusGrineerMix,""
Valefor,Europa,Defense,Corpus,CorpusSquadDefenseA,""
Orias,Europa,Spy,Corpus,CorpusSquadA,""
Zagan,Europa,Capture,Corpus,CorpusInfestedMix,""
Beleth,Europa,Capture,Corpus,CorpusSquadA,""
Kokabiel,Europa,Sabotage,Corpus,CorpusSquadB,""
Balor,Mercury,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Tethra,Venus,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Tethra's Doom,Earth,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Elatha,Mars,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Bres,Jupiter,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Birog,Saturn,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Ethniu,Uranus,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Buarainech,Neptune,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Corb,Pluto,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Conand,Ceres,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Lugh,Eris,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Nemed,Sedna,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Neit,Europa,Sabotage,Grineer,GrineerSquadSabotageEvent,""
Roche,Phobos,Extermination,Grineer,DesertGrineerSquadOne,""
Skyresh,Phobos,Deception,Grineer,DesertGrineerSquadOne,""
Stickney,Phobos,Survival,Grineer,GrineerSettlementSurvivalA,""
Drunlo,Phobos,Defense,Grineer,DesertGrineerDefenseA,""
Grildrig,Phobos,Rescue,Grineer,DesertGrineerSquadOne,""
Limtoc,Phobos,Capture,Grineer,DesertGrineerSquadOne,""
Hall,Phobos,Mobile Defense,Grineer,DesertGrineerSquadOne,""
Reldresal,Phobos,Sabotage,Grineer,DesertGrineerSquadOne,""
Clustril,Phobos,Extermination,Grineer,DesertGrineerSquadOne,""
Kepler,Phobos,Defense,Grineer,DesertGrineerDefenseA,""
Gulliver,Phobos,Rescue,Grineer,DesertGrineerSquadOne,""
Monolith,Phobos,Rescue,Grineer,DesertGrineerSquadOne,""
D'Arrest,Phobos,Sabotage,Grineer,DesertGrineerSquadOne,""
Shklovsky,Phobos,Spy,Grineer,DesertGrineerSquadOne,""
Sharpless,Phobos,Mobile Defense,Grineer,DesertGrineerSquadOne,""
Wendell,Phobos,Survival,Grineer,GrineerSettlementSurvivalA,""
Flimnap,Phobos,Deception,Grineer,DesertGrineerSquadOne,""
Opik,Phobos,Spy,Grineer,DesertGrineerSquadOne,""
Todd,Phobos,Capture,Grineer,DesertGrineerSquadOne,""
Iliad,Phobos,Assassination,Grineer,DesertGrineerSquadOne,BossMissionRewards/TrinityRewards
Vesper Relay,Venus,MT_PVP,Corrupted,"",""
Strata Relay,Earth,MT_PVP,Corrupted,"",""
DerelictDefense,-,Defense,Infestation,InfestedDefenseA,""
DerelictCapture,-,Capture,Infestation,InfestedCorpusMixSquadA,""
DerelictSurvival,-,Survival,Infestation,InfestedSurvivalA,""
DerelictExterminate,-,Extermination,Infestation,InfestedGrineerMixSquadA,""
DerelictAssassinate,-,Assassination,Infestation,InfestedSquadA,""
VoidExterminateT1,-,Extermination,Corrupted,OrokinSquadOne,""
VoidSurvivalT1,-,Survival,Corrupted,OrokinSurvivalA,""
VoidExterminateT2,-,Extermination,Corrupted,OrokinSquadOne,""
VoidSurvivalT2,-,Survival,Corrupted,OrokinSurvivalA,""
VoidExterminateT3,-,Extermination,Corrupted,OrokinSquadOne,""
VoidDefenseT1,-,Defense,Corrupted,OrokinDefenseSquad,""
VoidDefenseT2,-,Defense,Corrupted,OrokinDefenseSquad,""
VoidDefenseT3,-,Defense,Corrupted,OrokinDefenseSquad,""
VoidCaptureT1,-,Capture,Corrupted,OrokinSquadOne,""
VoidCaptureT2,-,Capture,Corrupted,OrokinSquadOne,""
VoidCaptureT3,-,Capture,Corrupted,OrokinSquadOne,""
VoidMobileDefenseT1,-,Mobile Defense,Corrupted,OrokinSquadOne,""
VoidMobileDefenseT2,-,Mobile Defense,Corrupted,OrokinSquadOne,""
VoidMobileDefenseT3,-,Mobile Defense,Corrupted,OrokinSquadOne,""
VoidSurvivalT3,-,Survival,Corrupted,OrokinSurvivalA,""
