Mob Name,Mods,,,,,,,,,
Councilor Vay Hek (Vip/MarineLeader),Sound Quake(/Lotus/Powersuits/Banshee/EarthQuakeAbilityCard),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Molten Impact(/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Killing Blow(/Lotus/Upgrades/Mods/Melee/WeaponMeleeHeavyDamageMod),Energy Channel(/Lotus/Upgrades/Mods/Melee/WeaponPowerDamageMod),Cryo Rounds(/Lotus/Upgrades/Mods/Rifle/WeaponFreezeDamageMod),Stretch(/Lotus/Upgrades/Mods/Warframe/AvatarAbilityRangeMod),,,
AIWeek/BlowtorchSawman,Sonic Boom(/Lotus/Powersuits/Banshee/PushAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Trick Mag(/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Rifle Aptitude(/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Cleanse Corpus(/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Flame Repellent(/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Enemy Sense(/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),
AIWeek/GrineerMeleeStaffLeader,Sonic Boom(/Lotus/Powersuits/Banshee/PushAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Trick Mag(/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Rifle Aptitude(/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Cleanse Corpus(/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageCorpus),Flame Repellent(/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),Enemy Sense(/Lotus/Upgrades/Mods/Warframe/AvatarEnemyRadarMod),
Nauseous Crawler (AiWeek/Crawlers/GraspingCrawler),Sonic Boom(/Lotus/Powersuits/Banshee/PushAbilityCard),Super Jump(/Lotus/Powersuits/Excalibur/SuperJumpAbilityCard),Smoke Screen(/Lotus/Powersuits/Ninja/SmokeScreenAbilityCard),Quickdraw(/Lotus/Upgrades/Mods/Pistol/WeaponReloadSpeedMod),Serration(/Lotus/Upgrades/Mods/Rifle/WeaponDamageAmountMod),Homing Fang(/Lotus/Weapons/Tenno/Melee/MeleeTrees/DaggerCmbOneMeleeTree),,,,
Ancient Disrupter (AiWeek/Ancients/Ancient),Sonar(/Lotus/Powersuits/Banshee/SonarAbilityCard),Fireball(/Lotus/Powersuits/Ember/FireBallAbilityCard),Crush(/Lotus/Powersuits/Mag/CrushAbilityCard),Expel Infested(/Lotus/Upgrades/Mods/Pistol/WeaponPistolFactionDamageInfested),Flechette(/Lotus/Upgrades/Mods/Shotgun/WeaponArmorPiercingDamageMod),Cleaving Whirlwind(/Lotus/Weapons/Tenno/Melee/MeleeTrees/AxeCmbTwoMeleeTree),,,,
Spaceman/EliteSpaceman,Rip Line(/Lotus/Powersuits/Berserker/GrappleAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Fury(/Lotus/Upgrades/Mods/Melee/WeaponFireRateMod),Infected Clip(/Lotus/Upgrades/Mods/Rifle/WeaponToxinDamageMod),,,,
Spaceman/AIWeek/ShotgunSpaceman,Rip Line(/Lotus/Powersuits/Berserker/GrappleAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Concussion Rounds(/Lotus/Upgrades/Mods/Pistol/WeaponImpactDamageMod),Infected Clip(/Lotus/Upgrades/Mods/Rifle/WeaponToxinDamageMod),Shredder(/Lotus/Upgrades/Mods/Shotgun/WeaponSlashDamageMod),,,
Electric Crawler (AiWeek/Crawlers/Lightning),Rip Line(/Lotus/Powersuits/Berserker/GrappleAbilityCard),Sure Shot(/Lotus/Upgrades/Mods/Pistol/WeaponStunChanceMod),Rupture(/Lotus/Upgrades/Mods/Rifle/WeaponImpactDamageMod),Contagious Spread(/Lotus/Upgrades/Mods/Shotgun/WeaponToxinDamageMod),,,,,,
Scavenger Drone (Drones/AIWeek/VacDrone),Warcry(/Lotus/Powersuits/Berserker/IntimidateAbilityCard),Freeze(/Lotus/Powersuits/Frost/IcicleAbilityCard),,,,,,,,
Anti Moa (BipedRobot/AIWeek/LaserDiscBiped),Hysteria(/Lotus/Powersuits/Berserker/LastStandAbilityCard),Venom(/Lotus/Powersuits/Saryn/PoisonAbilityCard),Turbulence(/Lotus/Powersuits/Tengu/TurbulenceAbilityCard),Pathogen Rounds(/Lotus/Upgrades/Mods/Pistol/WeaponToxinDamageMod),Vitality(/Lotus/Upgrades/Mods/Sentinel/SentinelHealthMaxMod),Swirling Tiger(/Lotus/Weapons/Tenno/Melee/MeleeTrees/DualSwordCmbOneMeleeTree),,,,
Forest/BladeSawman,Paralysis(/Lotus/Powersuits/Berserker/ShieldBlastAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),North Wind(/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Reflex Coil(/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Fever Strike(/Lotus/Upgrades/Mods/Melee/WeaponToxinDamageMod),Rifle Aptitude(/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Blunderbuss(/Lotus/Upgrades/Mods/Shotgun/WeaponCritChanceMod),Flow(/Lotus/Upgrades/Mods/Warframe/AvatarPowerMaxMod),Tranquil Cleave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/KatanaCmbOneMeleeTree)
Arid Butcher (Desert/BladeSawman),Paralysis(/Lotus/Powersuits/Berserker/ShieldBlastAbilityCard),North Wind(/Lotus/Upgrades/Mods/Melee/WeaponFreezeDamageMod),Reflex Coil(/Lotus/Upgrades/Mods/Melee/WeaponMeleeChargeRateMod),Fever Strike(/Lotus/Upgrades/Mods/Melee/WeaponToxinDamageMod),Rifle Aptitude(/Lotus/Upgrades/Mods/Rifle/WeaponStunChanceMod),Flow(/Lotus/Upgrades/Mods/Warframe/AvatarPowerMaxMod),Tranquil Cleave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/KatanaCmbOneMeleeTree),,,
Ancient Healer (AiWeek/Ancients/HealingAncient),Accelerant(/Lotus/Powersuits/Ember/FireSkinAbilityCard),Iron Skin(/Lotus/Powersuits/Rhino/IronSkinAbilityCard),Shock(/Lotus/Powersuits/Volt/ShockAbilityCard),Seeker(/Lotus/Upgrades/Mods/Pistol/WeaponPunctureDepthMod),Lightning Rod(/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceElectricity),Flame Repellent(/Lotus/Upgrades/Mods/Warframe/AvatarDamageResistanceFire),,,,
AIWeek/HeavyFemaleGrineer,World On Fire(/Lotus/Powersuits/Ember/WorldOnFireAbilityCard),Invisibility(/Lotus/Powersuits/Loki/InvisibilityAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Slip Magazine(/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Magazine Warp(/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Shell Compression(/Lotus/Upgrades/Mods/Shotgun/WeaponAmmoMaxMod),Blunderbuss(/Lotus/Upgrades/Mods/Shotgun/WeaponCritChanceMod),
GrineerMarineLeader,World On Fire(/Lotus/Powersuits/Ember/WorldOnFireAbilityCard),Invisibility(/Lotus/Powersuits/Loki/InvisibilityAbilityCard),Slip Magazine(/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Magazine Warp(/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Shell Compression(/Lotus/Upgrades/Mods/Shotgun/WeaponAmmoMaxMod),Blunderbuss(/Lotus/Upgrades/Mods/Shotgun/WeaponCritChanceMod),,,,
BipedRobot/Vip/BossBiped,World On Fire(/Lotus/Powersuits/Ember/WorldOnFireAbilityCard),Molten Impact(/Lotus/Upgrades/Mods/Melee/WeaponFireDamageMod),Pressure Point(/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Heated Charge(/Lotus/Upgrades/Mods/Pistol/WeaponFireDamageMod),Magazine Warp(/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),,,,,
Desert Heavy Gunner (Desert/HeavyFemaleGrineerDesert),World On Fire(/Lotus/Powersuits/Ember/WorldOnFireAbilityCard),Invisibility(/Lotus/Powersuits/Loki/InvisibilityAbilityCard),Slip Magazine(/Lotus/Upgrades/Mods/Pistol/WeaponClipMaxMod),Magazine Warp(/Lotus/Upgrades/Mods/Rifle/WeaponClipMaxMod),Shell Compression(/Lotus/Upgrades/Mods/Shotgun/WeaponAmmoMaxMod),,,,,
Drones/AIWeek/SuicideDrone,Radial Javelin(/Lotus/Powersuits/Excalibur/RadialJavelinAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Fury(/Lotus/Upgrades/Mods/Melee/WeaponFireRateMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Convulsion(/Lotus/Upgrades/Mods/Pistol/WeaponElectricityDamageMod),Hell's Chamber(/Lotus/Upgrades/Mods/Shotgun/WeaponFireIterationsMod),Vitality(/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),
SpecialEvents/ForestDrone,Radial Javelin(/Lotus/Powersuits/Excalibur/RadialJavelinAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Fury(/Lotus/Upgrades/Mods/Melee/WeaponFireRateMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Convulsion(/Lotus/Upgrades/Mods/Pistol/WeaponElectricityDamageMod),Hell's Chamber(/Lotus/Upgrades/Mods/Shotgun/WeaponFireIterationsMod),Vitality(/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),
Regulator (SpecialEvents/SurveillanceDrone),Radial Javelin(/Lotus/Powersuits/Excalibur/RadialJavelinAbilityCard),Fury(/Lotus/Upgrades/Mods/Melee/WeaponFireRateMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Convulsion(/Lotus/Upgrades/Mods/Pistol/WeaponElectricityDamageMod),Hell's Chamber(/Lotus/Upgrades/Mods/Shotgun/WeaponFireIterationsMod),Vitality(/Lotus/Upgrades/Mods/Warframe/AvatarHealthMaxMod),,,,
Spaceman/AIWeek/RifleSpaceman,Slash Dash(/Lotus/Powersuits/Excalibur/SlashDashAbilityCard),Contagion(/Lotus/Powersuits/Saryn/WeaponPoisonAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Fury(/Lotus/Upgrades/Mods/Melee/WeaponFireRateMod),Reach(/Lotus/Upgrades/Mods/Melee/WeaponMeleeRangeIncMod),No Return(/Lotus/Upgrades/Mods/Pistol/WeaponArmorPiercingDamageMod),Ammo Drum(/Lotus/Upgrades/Mods/Rifle/WeaponAmmoMaxMod),,
Sniper Crewman (Spaceman/AIWeek/SniperSpaceman),Slash Dash(/Lotus/Powersuits/Excalibur/SlashDashAbilityCard),Molt(/Lotus/Powersuits/Saryn/ShedAbilityCard),Overload(/Lotus/Powersuits/Volt/OverloadAbilityCard),Warrior(/Lotus/Types/Sentinels/SentinelPrecepts/Warrior),Ravage(/Lotus/Upgrades/Mods/Shotgun/WeaponCritDamageMod),Incendiary Coat(/Lotus/Upgrades/Mods/Shotgun/WeaponFireDamageMod),Stalking Fan(/Lotus/Weapons/Tenno/Melee/MeleeTrees/ScytheCmbTwoMeleeTree),,,
AiWeek/Crawlers/Lightning,Super Jump(/Lotus/Powersuits/Excalibur/SuperJumpAbilityCard),Pull(/Lotus/Powersuits/Mag/PullAbilityCard),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Serration(/Lotus/Upgrades/Mods/Rifle/WeaponDamageAmountMod),,,,,
Scorpion (AIWeek/MacheteWoman),Avalanche(/Lotus/Powersuits/Frost/AvalancheAbilityCard),Bullet Attractor(/Lotus/Powersuits/Mag/BulletAttractorAbilityCard),Master Thief(/Lotus/Upgrades/Mods/Warframe/AvatarChanceToLoot),,,,,,,
Leaper (AiWeek/Runners/LeapingRunner),Snow Globe(/Lotus/Powersuits/Frost/IceShieldAbilityCard),Decoy(/Lotus/Powersuits/Loki/DecoyAbilityCard),Teleport(/Lotus/Powersuits/Ninja/TelelportToAbilityCard),Energy Vampire(/Lotus/Powersuits/Trinity/EnergyVampireAbilityCard),Swift Deth(/Lotus/Types/Sentinels/SentinelPrecepts/SwiftDeth),Cleanse Infested(/Lotus/Upgrades/Mods/Shotgun/WeaponShotgunFactionDamageInfested),Seismic Palm(/Lotus/Weapons/Tenno/Melee/MeleeTrees/FistCmbTwoMeleeTree),,,
AIWeek/ShotgunLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Link(/Lotus/Powersuits/Trinity/LinkAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Shocking Touch(/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Disruptor(/Lotus/Upgrades/Mods/Shotgun/WeaponImpactDamageMod),Sundering Weave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/MacheteCmbOneMeleeTree),
Forest/ShotgunLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Link(/Lotus/Powersuits/Trinity/LinkAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Shocking Touch(/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Disruptor(/Lotus/Upgrades/Mods/Shotgun/WeaponImpactDamageMod),Sundering Weave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/MacheteCmbOneMeleeTree),
Forest/EvisceratorLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Link(/Lotus/Powersuits/Trinity/LinkAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Shocking Touch(/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Disruptor(/Lotus/Upgrades/Mods/Shotgun/WeaponImpactDamageMod),Sundering Weave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/MacheteCmbOneMeleeTree),
AIWeek/EviseratorLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Link(/Lotus/Powersuits/Trinity/LinkAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Shocking Touch(/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Disruptor(/Lotus/Upgrades/Mods/Shotgun/WeaponImpactDamageMod),Sundering Weave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/MacheteCmbOneMeleeTree),
AiWeek/Crawlers/Grenade,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Switch Teleport(/Lotus/Powersuits/Loki/SwitchAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Pressure Point(/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Trick Mag(/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Blunderbuss(/Lotus/Upgrades/Mods/Shotgun/WeaponCritChanceMod),Heavy Impact(/Lotus/Upgrades/Mods/Warframe/AvatarFallingImpactMod),
Desert/ShotgunLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Link(/Lotus/Powersuits/Trinity/LinkAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Shocking Touch(/Lotus/Upgrades/Mods/Melee/WeaponElectricityDamageMod),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Disruptor(/Lotus/Upgrades/Mods/Shotgun/WeaponImpactDamageMod),Sundering Weave(/Lotus/Weapons/Tenno/Melee/MeleeTrees/MacheteCmbOneMeleeTree),
Desert/EvisceratorLancer,Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Melee Prowess(/Lotus/Upgrades/Mods/Melee/WeaponStunChanceMod),,,,,,
Toxic Crawler (AiWeek/Crawlers/NoxiousCrawler),Ice Wave(/Lotus/Powersuits/Frost/IceSpikeAbilityCard),Switch Teleport(/Lotus/Powersuits/Loki/SwitchAbilityCard),Pressure Point(/Lotus/Upgrades/Mods/Melee/WeaponMeleeDamageMod),Trick Mag(/Lotus/Upgrades/Mods/Pistol/WeaponAmmoMaxMod),Blunderbuss(/Lotus/Upgrades/Mods/Shotgun/WeaponCritChanceMod),Heavy Impact(/Lotus/Upgrades/Mods/Warframe/AvatarFallingImpactMod),,,,
AIWeek/FemaleGrineer,Freeze(/Lotus/Powersuits/Frost/IcicleAbilityCard),Shuriken(/Lotus/Powersuits/Ninja/GlaiveAbilityCard),Smoke Screen(/Lotus/Powersuits/Ninja/SmokeScreenAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Organ Shatter(/Lotus/Upgrades/Mods/Melee/WeaponCritDamageMod),,,
Spaceman/AIWeek/MeleeSpaceman,Freeze(/Lotus/Powersuits/Frost/IcicleAbilityCard),Common Fusion Core(/Lotus/Upgrades/Mods/Fusers/CommonModFuser),Rare Fusion Core(/Lotus/Upgrades/Mods/Fusers/RareModFuser),Uncommon Fusion Core(/Lotus/Upgrades/Mods/Fusers/UncommonModFuser),Pistol Gambit(/Lotus/Upgrades/Mods/Pistol/WeaponCritChanceMod),Shotgun Savvy(/Lotus/Upgrades/Mods/Shotgun/WeaponStunChanceMod),,,,
Charger (AiWeek/Quadrupeds/Quadruped),Chaos(/Lotus/Powersuits/Jade/ChaosAbilityCard),Regen(/Lotus/Types/Sentinels/SentinelPrecepts/Regen),Speed Trigger(/Lotus/Upgrades/Mods/Rifle/WeaponFireRateMod),Redirection(/Lotus/Upgrades/Mods/Sentinel/SentinelShieldMaxMod),Fracturing Wind(/Lotus/Weapons/Tenno/Melee/MeleeTrees/FistCmbOneMeleeTree),,,,,
Scorch (AIWeek/FlameLancer),Psychic Bolts(/Lotus/Powersuits/Jade/DaggerAbilityCard),Electric Shield(/Lotus/Powersuits/Volt/ShieldAbilityCard),Bane of Grineer(/Lotus/Upgrades/Mods/Rifle/WeaponFactionDamageGrineer),,,,,,,
Leech Osprey (Drones/AIWeek/LeechDrone),Mind Control(/Lotus/Powersuits/Jade/MindControlAbilityCard),Crowd Dispersion(/Lotus/Types/Sentinels/SentinelPrecepts/CrowdDispersion),Gleaming Talon(/Lotus/Weapons/Tenno/Melee/MeleeTrees/GlaiveCmbOneMeleeTree),,,,,,,
