Deck,Enemy,Probability,Max Simultaneous,Tier
,AIWeek/PistonSawman,0.30000001,0,0
,AIWeek/RocketBombard,0.050000001,2,0
,AIWeek/BladeSawman,0.1,2,0
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.25,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
GrineerInfestedMixDesert,Desert/RifleLancer,1,0,0
,Desert/EliteRifleLancer,1,0,0
,Desert/BladeSawman,0.30000001,0,0
,Desert/ShotgunLancer,0.25,0,0
,Desert/MinigunBombard,0.050000001,2,0
,Desert/EvisceratorLancer,0.1,2,0
,Desert/JetpackMarine,0.25,0,0
,Desert/GrineerMarinePistol,0.050000001,0,0
,/Lotus/Types/NeutralCreatures/SandRayCreature,0.25,3,0
,AIWeek/GrineerFemale,0.1,4,0
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.25,0,0
GrineerInfestedMixForest,Forest/RifleLancer,1,0,0
,Forest/EliteRifleLancer,0.2,2,0
,Forest/BladeSawman,0.30000001,0,0
,Forest/ShotgunLancer,0.25,3,0
,Forest/MinigunBombard,0.050000001,2,0
,AIWeek/GrineerFemale,0.1,2,0
,Forest/JetpackMarine,0.25,1,0
,Forest/GrineerMarinePistol,0.050000001,0,0
,AIWeek/MacheteWoman,0.2,0,1
,Forest/EvisceratorLancer,0.1,1,1
,AIWeek/ShieldLancer,0.1,0,1
,AIWeek/RocketBombard,0.1,1,2
,AIWeek/FlameLancer,0.1,1,2
,Forest/MinigunBombard,0.1,2,2
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.25,0,0
GrineerSettlementSurvivalA,Desert/RifleLancer,1,0,0
,Desert/BladeSawmanNoCoverSurvival,0.40000001,0,0
,Desert/JetpackMarine,0.5,3,1
,Regulator (SpecialEvents/SurveillanceDroneAgent),1,2,1
,AIWeek/GrineerFemale,0.5,4,2
,AIWeek/ShieldLancer,0.40000001,5,2
,AIWeek/ShotgunLancer,0.5,3,3
,Desert/EliteRifleLancer,0.60000002,0,3
,Desert/MinigunBombard,0.60000002,3,4
,AIWeek/IncendiaryBombard,0.40000001,2,4
,AIWeek/RocketBombard,0.30000001,3,5
,Desert/EvisceratorLancer,0.2,2,5
,AIWeek/BeastMaster,0.2,2,2
GrineerSquadFive,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/MacheteWoman,0.2,0,0
,AIWeek/BladeSawman,0.2,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.050000001,2,0
,AIWeek/ShieldLancer,0.1,2,0
,AIWeek/GrineerRollingDrone,0.2,0,0
,AIWeek/RocketBombard,0.025,0,0
,GrineerMarinePistol,0.15000001,0,0
,AIWeek/GrineerFemale,0.1,0,0
,AIWeek/FlameLancer,0.1,0,0
,AIWeek/BeastMaster,0.1,2,0
GrineerSquadFour,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/MacheteWoman,0.30000001,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.050000001,2,0
,AIWeek/ShieldLancer,0.1,2,0
,AIWeek/GrineerRollingDrone,0.2,0,0
,AIWeek/GrineerFemale,0.1,0,0
,AIWeek/FlameLancer,0.2,0,0
,AIWeek/PistonSawman,0.30000001,0,0
,AIWeek/BeastMaster,0.1,2,0
GrineerSquadOne,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.050000001,2,0
,AIWeek/ShieldLancer,0.1,2,0
GrineerSquadSabotageEvent,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/MacheteWoman,0.2,0,0
,AIWeek/BladeSawman,0.2,0,0
,AIWeek/MinigunBombard,0.050000001,2,0
,AIWeek/ShieldLancer,0.1,2,0
,AIWeek/GrineerRollingDrone,0.2,0,0
,GrineerMarinePistol,0.15000001,0,0
,AIWeek/GrineerFemale,0.1,0,0
,AIWeek/EviseratorLancer,0.25,0,0
,AIWeek/BeastMaster,0.1,2,0
GrineerSquadSix,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/MacheteWoman,0.2,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.1,2,0
,AIWeek/RocketBombard,0.1,0,0
,GrineerMarinePistol,0.15000001,0,0
,AIWeek/GrineerFemale,0.1,0,0
,AIWeek/EviseratorLancer,0.1,0,0
,AIWeek/JetpackMarine,0.050000001,0,0
,AIWeek/PistonSawman,0.30000001,0,0
GrineerSquadThree,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/PistonSawman,0.1,0,0
,AIWeek/ShieldLancer,0.1,2,0
,AIWeek/IncendiaryBombard,0.050000001,2,0
,AIWeek/BlowtorchSawman,0.1,0,0
,GrineerMarinePistol,0.15000001,0,0
,AIWeek/FlameLancer,0.1,0,0
,AIWeek/PistonSawman,0.30000001,0,0
GrineerSquadTwo,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.2,0,0
,AIWeek/MacheteWoman,0.2,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/RocketBombard,0.050000001,1,0
,AIWeek/PistonSawman,0.1,0,0
,AIWeek/ShieldLancer,0.1,2,0
,GrineerMarineLeader,0.050000001,1,0
,AIWeek/GrineerFemale,0.1,0,0
,AIWeek/FlameLancer,0.2,0,0
,AIWeek/BeastMaster,0.1,2,0
GrineerSurvivalA,AIWeek/RifleLancer,1,10,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawmanNoCoverSurvival,0.40000001,0,0
,Forest/ShotgunLancer,0.5,3,1
,AIWeek/GrineerFemale,0.5,3,2
,AIWeek/ShieldLancer,0.40000001,4,2
,GrineerMarinePistol,0.2,2,3
,AIWeek/MinigunBombard,0.60000002,3,4
,AIWeek/IncendiaryBombard,0.30000001,3,4
,AIWeek/RocketBombard,0.2,2,5
,AIWeek/GrineerRollingDrone,0.050000001,2,5
,AIWeek/BeastMaster,0.1,2,1
,AIWeek/BeastMaster,0.1,2,2
GrineerSurvivalMercury,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawmanNoCoverSurvival,0.40000001,0,0
,AIWeek/MacheteWomanNoCover,0.40000001,2,1
,AIWeek/ShieldLancer,0.5,2,2
,AIWeek/ShotgunLancer,0.40000001,2,3
,AIWeek/MinigunBombard,0.1,2,4
,AIWeek/RocketBombard,0.2,2,5
GrineerTutorialSquadFour,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,1,0
,AIWeek/ShotgunLancer,0.15000001,3,0
,AIWeek/ShieldLancer,0.1,2,0
,GrineerMarinePistol,0.050000001,1,0
,AIWeek/PistonSawman,0.2,3,0
GrineerTutorialSquadOne,TutorialMarine,0.69999999,0,0
,Forest/RifleLancerTutorial,1,0,0
,Forest/JetpackMarineTutorial,0.5,2,0
,AIWeek/BladeSawmanNoCoverTutorial,0.30000001,5,0
,Forest/ShotgunLancerTutorial,0.2,2,0
,AIWeek/GrineerFemaleTutorial,0.2,2,0
GrineerTutorialSquadThree,AIWeek/RifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/ShotgunLancer,0.2,3,0
,AIWeek/ShieldLancerTutorial,0.2,2,0
GrineerTutorialSquadTwo,TutorialMarine,0.5,2,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,5,0
,Forest/ShotgunLancerTutorial,0.40000001,2,0
,AIWeek/GrineerFemaleTutorial,0.2,2,0
InfestedCorpusMixSquadA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
,Член Команди (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Elite Crewman (Spaceman/EliteSpacemanAgent),1,0,0
,Рядовий Рукопашник (Spaceman/AIWeek/MeleeSpacemanAgent),1,0,0
,Дрон Щит (Drones/AIWeek/ShieldDroneAgent),0.15000001,0,0
,Моа З Ударною Хвилею (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Гібридні Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.02,0,0
InfestedDefenseA,Химера (AiWeek/Quadrupeds/Quadruped),0.69999999,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,1,1
,AiWeek/Ancients/MeleeAncient,0.1,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.2,2,2
,AiWeek/Ancients/MeleeAncient,0.25,2,2
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.025,0,1
,AiWeek/Crawlers/GrenadeCrawler,0.0099999998,0,2
InfestedDefenseCorpusA,Химера (AiWeek/Quadrupeds/Quadruped),0.69999999,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,1,1
,AiWeek/Ancients/MeleeAncient,0.1,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.2,2,2
,AiWeek/Ancients/MeleeAncient,0.25,2,2
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.025,0,1
,AiWeek/Crawlers/GrenadeCrawler,0.0099999998,0,2
,Член Команди (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Elite Crewman (Spaceman/EliteSpacemanAgent),1,0,0
,Рядовий Рукопашник (Spaceman/AIWeek/MeleeSpacemanAgent),1,0,0
,Дрон Щит (Drones/AIWeek/ShieldDroneAgent),0.15000001,0,0
,Моа З Ударною Хвилею (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Гібридні Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.02,0,0
,Технік Корпусу (Spaceman/AIWeek/DeployableSpacemanAgent),0.050000001,0,0
InfestedDefenseDerelict,Химера (AiWeek/Quadrupeds/Quadruped),0.69999999,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,1,1
,AiWeek/Ancients/MeleeAncient,0.1,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.2,2,2
,AiWeek/Ancients/MeleeAncient,0.25,2,2
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.025,0,1
,AiWeek/Crawlers/GrenadeCrawler,0.0099999998,0,2
InfestedDefenseGrineerA,Химера (AiWeek/Quadrupeds/Quadruped),0.69999999,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,1,1
,AiWeek/Ancients/MeleeAncient,0.1,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.2,2,2
,AiWeek/Ancients/MeleeAncient,0.25,2,2
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.025,0,1
,AiWeek/Crawlers/GrenadeCrawler,0.0099999998,0,2
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/RocketBombard,0.25,0,0
,AIWeek/FlameLancer,0.25,0,0
,AIWeek/BladeSawman,0.25,0,0
InfestedGrineerMixSquadA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/RocketBombard,0.050000001,0,0
,AIWeek/IncendiaryBombard,0.050000001,0,0
,AIWeek/FlameLancer,0.25,0,0
,AIWeek/BladeSawman,0.5,0,0
InfestedHiveSquadA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,1
,AiWeek/Ancients/MeleeAncient,0.2,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,2,2
,AiWeek/Crawlers/MeleeCrawler,0.25,0,0
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
InfestedNewAiTestDefenseA,Химера (AiWeek/Quadrupeds/Quadruped),0.69999999,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,1,1
,AiWeek/Ancients/MeleeAncient,0.1,1,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.2,2,2
,AiWeek/Ancients/MeleeAncient,0.25,2,2
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.025,0,1
,AiWeek/Crawlers/GrenadeCrawler,0.0099999998,0,2
,Diseased Ancient (AiWeek/Ancients/DiseasedAncient),0.2,2,2
,Puss Ancient (AiWeek/Ancients/SpawningAncient),0.2,2,1
,Swarm Infested (AiWeek/InfestedMoas/NaniteCloudBipedAgent),0.15000001,2,2
,Slow Infested (AiWeek/InfestedMoas/SlowBombBipedAgent),0.15000001,2,1
InfestedNewAiTestSquadA,Химера (AiWeek/Quadrupeds/Quadruped),0.89999998,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.050000001,0,0
,Diseased Ancient (AiWeek/Ancients/DiseasedAncient),0.15000001,2,0
,Puss Ancient (AiWeek/Ancients/SpawningAncient),0.15000001,2,0
,Swarm Infested (AiWeek/InfestedMoas/NaniteCloudBipedAgent),0.2,2,0
,Slow Infested (AiWeek/InfestedMoas/SlowBombBipedAgent),0.2,2,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.15000001,0,0
InfestedNewAiTestSurvivalA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,AiWeek/Runners/MeleeRunner,0.5,0,0
,AiWeek/Crawlers/MeleeCrawler,0.2,5,0
,Бігун (AiWeek/Runners/SuicideRunner),0.25,8,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,3
,Стрибун (AiWeek/Runners/LeapingRunner),0.25,0,2
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.2,4,2
,Древній Цілитель (AiWeek/Ancients/HealingAncient),1,2,3
,AiWeek/Crawlers/LightningCrawler,0.2,4,3
,AiWeek/Ancients/MeleeAncient,1,2,4
,AiWeek/Crawlers/GrenadeCrawler,0.2,4,4
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),1,2,5
,Slow Infested (AiWeek/InfestedMoas/SlowBombBipedAgent),0.2,2,2
,Swarm Infested (AiWeek/InfestedMoas/NaniteCloudBipedAgent),0.2,2,3
,Diseased Ancient (AiWeek/Ancients/DiseasedAncient),0.1,2,2
,Puss Ancient (AiWeek/Ancients/SpawningAncient),0.1,2,3
InfestedSquadA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,0
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,0
,AiWeek/Ancients/MeleeAncient,0.2,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.050000001,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
InfestedSquadB,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.5,0,0
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,0
,AiWeek/Crawlers/LightningCrawler,0.050000001,0,0
,AiWeek/Crawlers/MeleeCrawler,0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.30000001,0,0
InfestedSquadC,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Бігун (AiWeek/Runners/SuicideRunner),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Нудотний Повзун (AiWeek/Crawlers/GraspingCrawler),0.15000001,0,0
,Древній Цілитель (AiWeek/Ancients/HealingAncient),0.1,0,0
,AiWeek/Ancients/MeleeAncient,0.1,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,0
InfestedSquadD,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,Стрибун (AiWeek/Runners/LeapingRunner),0.2,0,0
,Нудотний Повзун (AiWeek/Crawlers/GraspingCrawler),0.15000001,0,0
,AiWeek/Crawlers/MeleeCrawler,0.25,0,0
,AiWeek/Ancients/MeleeAncient,0.1,0,0
,AiWeek/Crawlers/GrenadeCrawler,0.050000001,0,0
,AiWeek/Crawlers/LightningCrawler,0.050000001,0,0
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.30000001,0,0
InfestedSurvivalA,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,AiWeek/Runners/MeleeRunner,0.5,0,0
,AiWeek/Crawlers/MeleeCrawler,0.2,5,0
,Бігун (AiWeek/Runners/SuicideRunner),0.25,8,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,3
,Стрибун (AiWeek/Runners/LeapingRunner),0.25,0,2
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.2,4,2
,Древній Цілитель (AiWeek/Ancients/HealingAncient),1,2,3
,AiWeek/Crawlers/LightningCrawler,0.2,4,3
,AiWeek/Ancients/MeleeAncient,1,2,4
,AiWeek/Crawlers/GrenadeCrawler,0.2,4,4
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),1,2,5
InfestedSurvivalACorpus,Член Команди (Spaceman/AIWeek/RifleSpacemanAgent),1,4,0
,Elite Crewman (Spaceman/EliteSpacemanAgent),0.5,1,0
,Рядовий Рукопашник (Spaceman/AIWeek/MeleeSpacemanAgent),0.2,2,0
,Дрон Щит (Drones/AIWeek/ShieldDroneAgent),0.5,1,0
,Моа З Ударною Хвилею (BipedRobot/AIWeek/ShockwaveBipedAgent),0.1,1,0
,Гібридні Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.02,1,0
,Технік Корпусу (Spaceman/AIWeek/DeployableSpacemanAgent),0.1,1,0
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,AiWeek/Runners/MeleeRunner,0.5,0,0
,AiWeek/Crawlers/MeleeCrawler,0.2,6,0
,Бігун (AiWeek/Runners/SuicideRunner),0.25,8,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,3
,Стрибун (AiWeek/Runners/LeapingRunner),0.25,0,2
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.2,4,2
,Древній Цілитель (AiWeek/Ancients/HealingAncient),1,2,3
,AiWeek/Crawlers/LightningCrawler,0.2,4,3
,AiWeek/Ancients/MeleeAncient,1,2,4
,AiWeek/Crawlers/GrenadeCrawler,0.2,4,4
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),1,2,5
InfestedSurvivalAGrineer,AIWeek/RifleLancer,1,3,0
,AIWeek/EliteRifleLancer,1,1,0
,AIWeek/RocketBombard,0.1,1,0
,AIWeek/FlameLancer,0.1,2,0
,AIWeek/BladeSawman,1,2,0
,AIWeek/MinigunBombard,0.1,1,0
,AIWeek/ShotgunLancer,0.1,1,0
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,0
,AiWeek/Runners/MeleeRunner,0.5,0,0
,AiWeek/Crawlers/MeleeCrawler,0.2,6,0
,Бігун (AiWeek/Runners/SuicideRunner),0.25,8,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,3
,Стрибун (AiWeek/Runners/LeapingRunner),0.25,0,2
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.2,4,2
,Древній Цілитель (AiWeek/Ancients/HealingAncient),1,2,3
,AiWeek/Crawlers/LightningCrawler,0.2,4,3
,AiWeek/Ancients/MeleeAncient,1,2,4
,AiWeek/Crawlers/GrenadeCrawler,0.2,4,4
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),1,2,5
MasteryGauntletSpec,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.050000001,2,0
,AIWeek/ShieldLancer,0.1,2,0
,Химера (AiWeek/Quadrupeds/Quadruped),1,0,1
,Стрибун (AiWeek/Runners/LeapingRunner),0.75,0,1
,Бігун (AiWeek/Runners/SuicideRunner),0.5,0,1
,AiWeek/Ancients/MeleeAncient,0.2,0,1
,Токсичний Древній (AiWeek/Ancients/ToxicAncient),0.1,0,1
,AiWeek/Crawlers/MeleeCrawler,0.1,0,1
,Отруйний Повзун (AiWeek/Crawlers/NoxiousCrawler),0.050000001,0,1
,Mutalist-Osprey (AiWeek/InfestedDrones/PoisonDroneAgent),0.2,0,1
,Член Команди (Spaceman/AIWeek/RifleSpacemanAgent),1,0,2
,Моа З Ударною Хвилею (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,2
,Дрон Щит (Drones/AIWeek/ShieldDroneAgent),0.15000001,0,2
,Рядовий Рукопашник (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,2
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,2
,Гібридні Moa (BipedRobot/AIWeek/SuperMoaBipedAgent),0.02,0,2
,Технік Корпусу (Spaceman/AIWeek/DeployableSpacemanAgent),0.050000001,0,2
,Oxium Osprey (Drones/AIWeek/SuicideDroneAgent),0.050000001,0,2
